objid,modelmag_u,modelmag_g,modelmag_r,modelmag_i,modelmag_z,z
588848900979163152,18.932,18.784,18.815,18.642,18.6,1.765
587728950127231009,19.234,18.997,18.71,18.607,18.572,1.29
588848901516034175,21.51,19.414,18.535,18.452,18.353,3.674
587728950127296654,19.617,19.35,19.001,19.07,18.953,1.037
587728949590556842,25.229,21.209,19.674,19.384,19.382,4.036
588848900442554559,21.577,20.871,20.527,19.99,19.865,1.713
587728949053620316,19.37,19.203,18.982,19.064,19.125,1.109
588848900442488860,19.754,19.388,18.912,18.783,18.764,1.145
588848901516296371,22.402,21.435,20.375,19.543,19.156,1.613
587728950127362072,19.211,19.094,19.038,18.664,18.586,1.817
587728949590818944,20.108,19.509,18.956,18.716,18.606,1.069
587728949590818919,18.71,17.897,17.26,16.859,16.698,0.148
587728949053947939,19.178,18.804,18.768,18.597,18.551,1.578
588848898832793629,18.817,18.699,18.683,18.448,18.375,1.723
588848899369730123,19.857,19.393,19.249,18.827,18.626,0.457
587722982270959696,19.167,18.925,18.247,17.923,17.493,0.332
588848899906601026,19.987,19.31,18.993,18.931,18.871,1.344
587722981733761078,19.79,19.469,18.96,18.52,18.384,0.157
588848899906469944,19.615,19.26,18.996,18.594,18.51,1.843
587722982807568523,20.128,19.574,19.491,19.544,19.27,2.494
587722982807568579,20.008,19.662,19.099,18.917,18.426,0.33
587722982807634077,20.139,19.475,19.127,18.848,18.464,0.449
587722982270697480,19.33,19.332,19.054,18.912,18.84,1.336
587722982270566531,19.044,18.625,18.55,18.61,18.483,0.876
588848898832466017,18.971,18.815,18.757,18.486,18.564,1.742
588848898832465988,17.451,17.412,17.513,17.53,17.106,0.378
588848898832466103,19.85,19.353,19.213,18.893,18.828,0.541
588848899369271414,19.42,19.218,19.072,18.85,18.75,1.542
587722982001803344,19.424,19.194,19.14,18.833,18.738,1.725
587722982270304405,19.369,19.224,18.756,18.438,18.349,0.155
588848899906076678,17.834,17.789,17.673,17.681,17.303,0.282
587722982807240858,19.503,19.203,19.058,18.85,18.426,0.397
587728947979944094,19.778,19.331,18.697,18.53,18.058,0.336
588848899369009179,18.933,18.696,18.755,18.539,18.278,2.164
587728947980009642,19.991,19.744,19.592,19.36,19.166,0.76
587722984686157952,19.661,19.08,19.062,18.993,18.711,2.323
588848900979687443,19.194,18.758,18.256,17.836,17.709,0.126
588848900979621961,19.636,18.624,18.463,18.395,18.384,2.815
588848901516623946,19.414,19.27,19.014,18.883,18.909,1.339
588848901516624099,25.162,21.309,19.648,19.215,19.277,4.098
587722983612416078,19.454,18.904,18.904,18.917,18.671,2.27
587722983880917108,19.52,19.253,18.98,18.686,18.395,0.393
587722984417853494,18.894,18.629,18.598,18.44,18.281,2.135
588848900979884120,19.394,19.232,19.156,18.929,19.087,1.538
588848900979818553,18.801,18.761,18.663,18.53,18.324,2.008
587722984417853491,19.071,18.894,18.725,18.558,18.274,2.016
587722983881048115,18.772,18.625,18.41,18.216,17.942,2.012
588848899906207842,19.297,18.831,18.67,18.655,18.436,2.467
587722983344308673,24.732,21.705,20.368,20.231,19.95,3.69
588848900443275302,18.317,18.269,18.08,17.976,18.037,1.409
587722983881244789,19.073,18.908,18.613,18.583,18.473,0.928
588848900443275294,19.106,19.021,18.747,18.586,18.485,1.379
587722983344439436,19.146,18.906,18.668,18.58,18.261,0.275
587722983344504891,19.105,19.007,18.751,18.739,18.801,1.053
588848900980146214,19.511,19.325,19.23,19.071,19.035,1.686
587722983881506924,19.09,18.593,17.924,17.529,17.148,0.244
588848899906601021,19.67,18.976,19.033,18.899,18.766,2.396
588848901517148382,19.44,18.39,17.46,16.909,16.574,0.12
588848900980408368,19.869,19.551,18.942,18.834,18.899,1.299
588848900443471985,18.067,17.93,17.721,17.734,17.671,1.007
