agcnum,radeg,decdeg,distMpc,Vcmb,logL_V,logMH,gas2L_V,AbsMag_i,logL_i,gas2L_i
  8385,200.1588,  9.787, 16.2, 1430., 8.85, 8.99, 0.1447,-17.36, 8.7770, 0.2130
732602,200.2700, 24.143, 11.6, 1188., 7.69, 7.41,-0.2751,-14.51, 7.6356,-0.2256
  8410,200.7321, 26.981, 40.2, 3141.,10.25, 9.38,-0.8653,-21.08,10.2645,-0.8845
238691,201.3233,  5.543, 16.7, 1289., 6.39, 7.30, 0.9080,-11.33, 6.3651, 0.9349
  8450,201.7550, 10.056, 16.3, 1340., 8.19, 8.31, 0.1224,-15.79, 8.1473, 0.1627
233559,202.1971, 10.961, 16.0, 1380., 6.75, 7.42, 0.6748,-11.92, 6.5981, 0.8219
238890,203.1263, 25.123,  6.6,  611., 7.11, 6.56,-0.5531,-13.44, 7.2094,-0.6494
230436,203.6579,  8.794, 22.9, 1518., 8.62, 8.84, 0.2212,-17.04, 8.6499, 0.1901
  8575,203.9396,  8.968, 15.1, 1448., 8.51, 8.89, 0.3762,-16.55, 8.4519, 0.4381
231022,204.0108,  8.185, 23.0, 1531., 8.25, 8.39, 0.1409,-15.84, 8.1696, 0.2204
232025,204.1817,  8.546, 14.9, 1451., 7.98, 7.95,-0.0341,-15.39, 7.9877,-0.0377
  8614,204.3592,  7.645, 16.2, 1332., 8.60, 9.19, 0.5934,-16.59, 8.4671, 0.7229
  8616,204.3837,  8.885, 15.0, 1435., 9.85, 9.59,-0.2576,-20.39, 9.9892,-0.3992
  8629,204.6275,  8.442, 16.3, 1305., 8.27, 8.54, 0.2687,-15.98, 8.2246, 0.3154
233601,204.7117,  8.108, 22.3, 1472., 7.79, 8.43, 0.6352,-14.85, 7.7723, 0.6577
  8638,204.8304, 24.774,  4.3,  520., 7.38, 7.27,-0.1087,-13.55, 7.2501, 0.0199
238769,206.2771,  6.519, 16.3, 1297., 7.84, 7.56,-0.2805,-15.09, 7.8691,-0.3091
238847,206.2904, 27.336, 14.1, 1135., 6.79, 7.47, 0.6773,-12.76, 6.9361, 0.5339
238771,206.6708,  6.654, 23.2, 1571., 7.93, 8.14, 0.2079,-15.40, 7.9918, 0.1482
233681,206.8167, 13.177, 21.2, 1360., 7.43, 7.69, 0.2631,-13.62, 7.2794, 0.4106
  8727,207.0667,  3.951, 19.4, 1450., 9.37, 9.17,-0.1994,-19.21, 9.5154,-0.3454
713655,207.0950,  8.211, 21.7, 1434., 7.61, 7.55,-0.0598,-14.20, 7.5122, 0.0378
232162,208.0450,  5.504, 22.3, 1513., 8.10, 7.72,-0.3812,-15.37, 7.9799,-0.2599
  8800,208.3604,  5.207, 12.6, 1097., 8.86, 7.49,-1.3696,-17.80, 8.9523,-1.4623
238709,208.4742,  4.888, 22.7, 1554., 7.56, 7.94, 0.3817,-14.09, 7.4667, 0.4733
